"date","project_id","project_name","event_type","model","currency","cost"
"2026-01-15","proj-R8sBm9bUL9nxpsw_1l_Fw","orca","sync","voyage-code-3","usd","0"
"2026-01-17","proj-R8sBm9bUL9nxpsw_1l_Fw","orca","sync","voyage-code-3","usd","0"
